id,name,school,department,classification_2,classification_3,school_grade,class_period_semester,class_period_day_of_week,class_period_timetable,credit,professor,ratio_exam,ratio_assignment,ratio_attendance,image_professor,image_background,image_icon,syllabus_url,textbook,classroom,campus
61,集積回路システム設計,基幹理工,電子物理システム,C群,専門選択科目,4年以上,春クオーター,火,1~2,2,坂主　圭史,0,40,60,no-image.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603033030012022260502401626&pLng=jp,指定なし,-,-
62,基幹理工学特論A1,基幹理工,電子物理システム,C群,専門選択科目,4年以上,春クオーター,フルオンデマンド / -,-,1,吉江 修,0,100,0,professor23.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602024008012022260202400826&pLng=jp,指定なし,-,-
63,基幹理工学特論A2,基幹理工,電子物理システム,C群,専門選択科目,4年以上,夏クオーター,フルオンデマンド / -,-,1,藤村　茂,0,50+10+30,10,professor24.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602024009012022260202400926&pLng=jp,指定なし,-,-
64,量子力学特論,基幹理工,電子物理システム,C群,専門選択科目,4年以上,秋学期,金,3,2,山中　由也,50,50,0,professor5.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605024017012022260502401726&pLng=jp,指定なし,-,-
65,材料集積工学,基幹理工,電子物理システム,C群,専門選択科目,4年以上,秋学期,金,5,2,松木 武雄,0,90,10,no-image.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605024018012022260502401826&pLng=jp,指定なし,-,-
66,微分方程式（基幹）1クラス,基幹理工,-,-,基幹共通科目,2年以上,春学期,水,3,2,久藤　衡介,50,50,0,professor26.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600022002032022280021000726&pLng=jp,及川　正行，永井　敦，矢島　徹　著　『Key Point & Seminar 工学基礎 微分方程式[第2版]』 （サイエンス社）,-,-
67,微分方程式（基幹）2クラス,基幹理工,-,-,基幹共通科目,2年以上,春学期,火,1,2,横山　聡,0,60,0,no-image.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600022002042022260002200226&pLng=jp,微分方程式概論　神保秀一著　サイエンス社,-,-
68,ベクトル解析（基幹）1クラス,基幹理工,-,-,基幹共通科目,2年以上,春学期,月,3,2,米田　元,50,50,0,professor28.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600022003012022260002200326&pLng=jp,理工基礎ベクトル解析，筧 三郎 米田 元，サイエンス社,-,-
69,ベクトル解析（基幹）2クラス,基幹理工,-,-,基幹共通科目,2年以上,春学期,木,3,2,宮嵜　武,50,50,0,professor29.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600022003022022260002200326&pLng=jp,指定なし,-,-
70,続線形代数（基幹）,基幹理工,-,-,基幹共通科目,2年以上,春学期,金,2,2,村上　順,主にレポートによる評価 / -,-,-,professor30.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600022005012022260002200526&pLng=jp,"Numerical Linear Algebra by Gregoire Allaire and Sidi Mahmoud Kaber,Texts in Applied Mathematics, 55, Springer. e-book available from the Library",-,-
71,フーリエ解析（基幹）1クラス,基幹理工,-,-,基幹共通科目,2年以上,秋学期,金,1,2,柳谷　晃,0,100,0,professor31.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600022001012022260002200126&pLng=jp,"「フーリエの方法」入江昭二、垣田高夫著、内田老鶴圃 / 「フーリエ解析」大石進一著, 岩波書店(理工系の数学入門コース６)",-,-
